DateTime,Energy Produced (Wh)
12/22/2018 0:00,988
12/23/2018 0:00,4824
12/24/2018 0:00,16214
12/25/2018 0:00,5995
12/26/2018 0:00,19089
12/27/2018 0:00,3699
12/28/2018 0:00,3429
12/29/2018 0:00,1680
12/30/2018 0:00,15249
12/31/2018 0:00,896
1/1/2019 0:00,1323
1/2/2019 0:00,1955
1/3/2019 0:00,8260
1/4/2019 0:00,16800
1/5/2019 0:00,20725
1/6/2019 0:00,16703
1/7/2019 0:00,2333
1/8/2019 0:00,12359
1/9/2019 0:00,1753
1/10/2019 0:00,947
1/11/2019 0:00,8044
1/12/2019 0:00,433
1/13/2019 0:00,65
1/14/2019 0:00,6
1/15/2019 0:00,5
1/16/2019 0:00,23
1/17/2019 0:00,30
1/18/2019 0:00,1348
1/19/2019 0:00,765
1/20/2019 0:00,414
1/21/2019 0:00,683
1/22/2019 0:00,438
1/23/2019 0:00,1910
1/24/2019 0:00,661
1/25/2019 0:00,22421
1/26/2019 0:00,7605
1/27/2019 0:00,22862
1/28/2019 0:00,6286
1/29/2019 0:00,5449
1/30/2019 0:00,23412
1/31/2019 0:00,27594
2/1/2019 0:00,115
2/2/2019 0:00,217
2/3/2019 0:00,11176
2/4/2019 0:00,16578
2/5/2019 0:00,3405
2/6/2019 0:00,3456
2/7/2019 0:00,1723
2/8/2019 0:00,16300
2/9/2019 0:00,26715
2/10/2019 0:00,4309
2/11/2019 0:00,597
2/12/2019 0:00,1687
2/13/2019 0:00,15887
2/14/2019 0:00,8696
2/15/2019 0:00,20667
2/16/2019 0:00,9423
2/17/2019 0:00,4911
2/18/2019 0:00,5329
2/19/2019 0:00,11081
2/20/2019 0:00,83
2/21/2019 0:00,26264
2/22/2019 0:00,11020
2/23/2019 0:00,3920
2/24/2019 0:00,5536
2/25/2019 0:00,32974
2/26/2019 0:00,23106
2/27/2019 0:00,7859
2/28/2019 0:00,24463
3/1/2019 0:00,21006
3/2/2019 0:00,7578
3/3/2019 0:00,2539
3/4/2019 0:00,11562
3/5/2019 0:00,8953
3/6/2019 0:00,20888
3/7/2019 0:00,21044
3/8/2019 0:00,11165
3/9/2019 0:00,12031
3/10/2019 0:00,8350
3/11/2019 0:00,25538
3/12/2019 0:00,32656
3/13/2019 0:00,12068
3/14/2019 0:00,9877
3/15/2019 0:00,3575
3/16/2019 0:00,17709
3/17/2019 0:00,19805
3/18/2019 0:00,19911
3/19/2019 0:00,23842
3/20/2019 0:00,18124
3/21/2019 0:00,6667
3/22/2019 0:00,12690
3/23/2019 0:00,34411
3/24/2019 0:00,14960
3/25/2019 0:00,11201
3/26/2019 0:00,34895
3/27/2019 0:00,34424
3/28/2019 0:00,13826
3/29/2019 0:00,2902
3/30/2019 0:00,2476
3/31/2019 0:00,16775
4/1/2019 0:00,35453
4/2/2019 0:00,24837
4/3/2019 0:00,34745
4/4/2019 0:00,17346
4/5/2019 0:00,10092
4/6/2019 0:00,20970
4/7/2019 0:00,14745
4/8/2019 0:00,13220
4/9/2019 0:00,34646
4/10/2019 0:00,25567
4/11/2019 0:00,25538
4/12/2019 0:00,13669
4/13/2019 0:00,25962
4/14/2019 0:00,17184
4/15/2019 0:00,18527
4/16/2019 0:00,30135
4/17/2019 0:00,16687
4/18/2019 0:00,20179
4/19/2019 0:00,3364
4/20/2019 0:00,10493
4/21/2019 0:00,13088
4/22/2019 0:00,33470
4/23/2019 0:00,13454
4/24/2019 0:00,18564
4/25/2019 0:00,7141
4/26/2019 0:00,11799
4/27/2019 0:00,22546
4/28/2019 0:00,20892
4/29/2019 0:00,18922
4/30/2019 0:00,8355
5/1/2019 0:00,21619
5/2/2019 0:00,18508
5/3/2019 0:00,9167
5/4/2019 0:00,7007
5/5/2019 0:00,19089
5/6/2019 0:00,31883
5/7/2019 0:00,28298
5/8/2019 0:00,31129
5/9/2019 0:00,12548
5/10/2019 0:00,15401
5/11/2019 0:00,32832
5/12/2019 0:00,6281
5/13/2019 0:00,11882
5/14/2019 0:00,33642
5/15/2019 0:00,29564
5/16/2019 0:00,28885
5/17/2019 0:00,19534
5/18/2019 0:00,28829
5/19/2019 0:00,20453
5/20/2019 0:00,22576
5/21/2019 0:00,19734
5/22/2019 0:00,19032
5/23/2019 0:00,21667
5/24/2019 0:00,23579
